timestamp,task_id,subtask_id,user_id,action,outcome,detail,command,version,input
2026-09-02T16:14:28.915Z,P0001,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0001""}"
2026-09-02T16:28:00.244Z,P0001,,297915765,submit_encoding,accepted,,campaign.submitZones,2,"{""task_id"":""P0001"",""measures"":12,""systems"":2,""movements"":1}"
2026-09-02T16:29:43.860Z,P0003,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0003""}"
2026-09-02T16:30:37.412Z,P0003,,297915765,submit_encoding,accepted,,campaign.submitZones,2,"{""task_id"":""P0003"",""measures"":23,""systems"":3,""movements"":1}"
2026-09-02T16:30:53.727Z,P0001,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0001"",""subtask_id"":""S0001""}"
2026-09-02T16:45:09.216Z,P0001,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0001"",""subtask_id"":""S0001"",""verdict"":""pass""}"
2026-09-02T16:45:54.419Z,P0002,,38179254,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0002""}"
2026-09-02T16:49:44.357Z,P0002,,38179254,submit_encoding,accepted,,campaign.submitScoreSetup,1,"{""task_id"":""P0002"",""staves"":3,""groups"":1,""keysig"":""0"",""meter"":""4/4""}"
2026-09-03T12:37:23.673Z,P0003,,297915765,submit_comment,accepted,addition,campaign.submitComment,1,"{""task_id"":""P0003"",""subtask_id"":"""",""kind"":""addition"",""parent_id"":""""}"
2026-09-03T12:38:35.117Z,P0003,,297915765,submit_comment,accepted,reply,campaign.submitComment,1,"{""task_id"":""P0003"",""subtask_id"":"""",""kind"":""reply"",""parent_id"":""2824ed2f""}"
2026-09-03T12:39:11.478Z,P0003,,297915765,resolve_comment,accepted,addition,campaign.resolveComment,1,"{""comment_id"":""2824ed2f""}"
2026-09-07T08:03:16.720Z,P0003,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0003"",""subtask_id"":""S0001""}"
2026-09-07T08:03:48.780Z,P0003,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0003"",""subtask_id"":""S0001"",""verdict"":""pass""}"
